"VideoAnalysis: X (km/s)","VideoAnalysis: Y (kpc)","VideoAnalysis: X 2 (km/s)","VideoAnalysis: Y 2 (km/s)"
3.50113022179,57.4595584236,3.53166708701,60.9587365883
7.84482131741,96.91538415,9.82690205994,94.8984041329
11.0142508505,116.384630897,12.0009288124,114.876258294
14.6312140667,129.850924095,15.0961973871,125.847500927
18.2394524642,142.317452104,19.1781439237,135.310370956
22.2995869542,149.280909159,22.7340334094,141.778307825
26.3248221697,152.245305454,26.2506612113,143.74730134
29.3502921953,155.218426568,30.7670542031,145.707570036
33.3493529549,155.183527293,33.2664671779,145.685757989
36.3879102084,159.656296192,36.2570379289,144.659818343
40.9086656096,162.116447483,41.2427766505,143.116546465
44.4209310021,163.585558402,46.2067033254,139.073861612
51.927894745,164.519887452,55.6346740803,130.992854316
58.895714209,160.959635557,65.5538026116,121.907719421
66.3939531333,160.894199417,70.0134842823,117.369514382
74.900682066,161.819803649,75.4772935521,113.32246712
80.8861859774,160.267806952,82.4233009696,107.262802251
88.3582504457,157.203075243,88.895600248,104.20679536
95.8477645513,156.137873913,92.3555167288,99.67731514
103.832798843,154.568427579,102.309544535,94.5912410042
110.318185349,153.012068473,115.245418273,87.4794620327
118.820551872,153.43779011,123.712885522,83.9061229097
124.83223024,154.885088983,132.688960184,81.3281865672
132.830351759,154.815290434,138.161494273,78.2809044951
140.332953092,155.249736889,146.64204875,76.2072131569
147.835554426,155.684183344,151.619062652,73.664176089
154.33839057,156.127354618,162.102833609,72.0734526129
162.836394684,156.05319366,157.603904651,72.1127141711
