"VideoAnalysis: X","VideoAnalysis: Y","VideoAnalysis: X 2","VideoAnalysis: Y 2"
108.68,-362.68,108.68,-355.68
116.68,-283.68,120.68,-287.68
122.68,-244.68,124.68,-247.68
129.68,-217.68,130.68,-225.68
136.68,-192.68,138.68,-206.68
144.68,-178.68,145.68,-193.68
152.68,-172.68,152.68,-189.68
158.68,-166.68,161.68,-185.68
166.68,-166.68,166.68,-185.68
172.68,-157.68,172.68,-187.68
181.68,-152.68,182.68,-190.68
188.68,-149.68,192.68,-198.68
203.68,-147.68,211.68,-214.68
217.68,-154.68,231.68,-232.68
232.68,-154.68,240.68,-241.68
249.68,-152.68,251.68,-249.68
261.68,-155.68,265.68,-261.68
276.68,-161.68,278.68,-267.68
291.68,-163.68,285.68,-276.68
307.68,-166.68,305.68,-286.68
320.68,-169.68,331.68,-300.68
337.68,-168.68,348.68,-307.68
349.68,-165.68,366.68,-312.68
365.68,-165.68,377.68,-318.68
380.68,-164.68,394.68,-322.68
395.68,-163.68,404.68,-327.68
408.68,-162.68,425.678637828,-330.678941827
425.68,-162.68,416.678666628,-330.678941827
