"VideoAnalysis: Time (s)","VideoAnalysis: X (m)","VideoAnalysis: Y (m)","VideoAnalysis: X Velocity (m/s)","VideoAnalysis: Y Velocity (m/s)"
0.52914720141,1.13842495551,0.852253559033,0.782414107406,3.52670239458
0.553166593213,1.15357164199,0.927986991411,0.907950699266,3.96170128265
0.577185985015,1.18386501494,1.03906269223,0.900360114642,4.24605626049
0.601205376818,1.20406059691,1.13499170658,0.642280237423,4.44341146072
0.625224768621,1.21415838789,1.26121409388,0.385368142454,4.34998888073
0.649244160423,1.21920728338,1.33694752626,0.245234272471,4.44341146072
0.673263552226,1.22425617888,1.46821880904,0.186845159978,4.71200137818
0.697282944028,1.22930507437,1.58434340536,0.105071256508,4.22042528602
0.721302335831,1.22930507437,1.67017462872,0.0291314429656,3.70928032148
0.745321727633,1.22930507437,1.75600585208,0.00582919592276,3.39760695371
0.769581313354,1.22930507437,1.83678817995,0.0116583918455,3.04873976423
0.793600705156,1.22930507437,1.89737492586,0.0349461022402,2.91624670802
0.817620096959,1.22930507437,1.97815725373,0.105100402487,2.71439422741
0.841639488762,1.23940286535,2.03369510414,0.0058389112493,2.29469212097
0.865658880564,1.22930507437,2.08923295455,-0.0817447574902,1.83341813228
0.889678272367,1.22930507437,2.1195263275,0.0467112899944,1.45388890108
0.913697664169,1.23435396986,2.15486859594,0.0817447574902,1.27288265235
0.937717055972,1.23435396986,2.1801130734,0.0700669349916,1.16158387153
0.961736447774,1.23940286535,2.20535755086,-0.0174730511201,1.27146508687
0.985755839577,1.23435396986,2.24069981931,-0.127879761956,1.37870539896
1.0100154253,1.22930507437,2.27604208775,-0.0930640556194,1.31462785376
1.0340348171,1.22930507437,2.31138435619,-0.0291314429656,0.979815660158
1.0580542089,1.22930507437,2.32148214718,-0.00582919592276,0.694577840177
1.08207360071,1.22930507437,2.33662883365,0,0.706508261165
1.10609299251,1.22930507437,2.35682441562,0,0.694830438667
1.13011238431,1.22930507437,2.3719711021,0.0058389112493,0.554696568683
1.15413177611,1.22930507437,2.38711778857,0.0175167337479,0.216039716224
1.17815116792,1.22930507437,2.39721557955,0.0583793971664,-0.648002564754
1.20217055972,1.23435396986,2.34672662464,0.0233022470429,-1.16680165603
1.22618995152,1.22930507437,2.32653104267,0.0291314429656,-1.1229313384
1.25044953724,1.23435396986,2.29623766972,0.081420200422,-1.1228300158
1.27446892904,1.23435396986,2.27099319226,0.0933254994066,-1.05566810844
1.29848832085,1.23940286535,2.2457487148,0.0817253268371,-1.0215082935
1.32250771265,1.23940286535,2.22555313283,0.0291945562465,-1.11523204862
1.34652710445,1.23940286535,2.19021086439,0.0175167337479,-1.15610442736
1.37054649625,1.23940286535,2.17001528242,0.0291945562465,-1.20281571736
1.39456588806,1.24445176084,2.13467301398,-0.0700669349916,-1.34878849859
1.41858527986,1.23435396986,2.10437964102,-0.0992712065646,-1.47099759111
1.44260467166,1.23435396986,2.06903737258,0.0525502012437,-1.7673696114
1.46662406346,1.23940286535,2.01349952217,0.122050566033,-1.84421421956
1.49088364918,1.24445176084,1.97815725373,0.0466044940857,-1.84435915211
1.51490304099,1.23940286535,1.92766829881,0.0349606388884,-1.93644558451
1.53892243279,1.24445176084,1.88222823938,0.0817253268371,-1.97294965202
1.56294182459,1.24445176084,1.83678817995,0.0934225799888,-2.18959171849
1.58696121639,1.24950065634,1.78629922503,0.0875836687395,-2.74428828717
1.6109806082,1.24950065634,1.70046800167,0.0525502012437,-3.12965642962
1.635,1.24950065634,1.62978346479,0.110939313737,-3.22307900961
1.6590193918,1.25454955183,1.53890334593,0.180967387422,-3.00040372536
1.68303878361,1.25959844732,1.47831660003,0.204138586582,-2.50773651238
1.70705817541,1.26464734281,1.42782764511,0.20944489493,-2.36814539528
1.73131776113,1.2696962383,1.3722897947,0.197786503084,-2.55398364142
1.75533715293,1.2747451338,1.30160525781,0.151704896573,-2.68296214182
1.77935654473,1.27979402929,1.24101851191,0.0174875877683,-2.71436508143
1.80337593654,1.2747451338,1.17033397502,-0.0700669349916,-2.65670461843
1.82739532834,1.2696962383,1.10974722912,0.0840803219899,-2.44883937796
1.85141472014,1.27979402929,1.04916048322,0.213120260599,-2.11660532787
1.87543411194,1.28484292478,1.01381821477,0.233556449972,-1.76335119729
