Seq,Name,alphaX,e_alphaX,alphaUVc,e_alphaUVc,alphaOXc
1,Mkn 335        ,1.3,0.09,0.78,0.12,1.34
3,Ton S 180      ,1.48,0.08,0.25,0.07,1.42
7,RX J0117.5-3826,1.73,0.29,0.93,0.09,1.39
12,RX J0148.3-2758,1.57,0.16,0.75,0.09,1.41
14,Mkn 1044       ,1.46,0.08,0.74,0.05,1.31
18,RX J0323.2-4911,1.08,0.23,1.72,0.13,1.3
20,VCV 0331-37    ,1.04,0.2,0.38,0.1,1.34
26,Fairall 303    ,2.32,0.1,0.35,0.08,1.32
28,RX J0439.6-5311,2.16,0.09,0.08,0.07,1.24
30,RX J0902.5-0700,1.24,0.19,0.6,0.1,1.36
31,Mkn 110        ,0.98,0.05,-0.95,0.25,1.44
34,RX J1007.1+2203,1.53,0.14,0.78,0.08,1.43
37,Mkn 142        ,1.72,0.13,0.6,0.08,1.34
44,NGC 4051       ,1.59,0.16,0.82,0.28,1.27
46,RX J1209.8+3217,3.22,0.27,-0.33,0.24,1.9
47,PG 1211+143    ,2.5,0.3,0.41,0.11,1.66
48,Mkn 766        ,1.8,0.34,-0.31,0.47,1.67
51,MCG+08-23-006  ,0.82,0.15,1.84,0.16,1.15
53,RX J1304.2+0205,2.19,0.23,0.5,0.04,1.46
55,RX J1319.9+5235,1.87,0.12,0.42,0.19,1.55
58,RX J1355.2+5612,2.01,0.27,0.48,0.12,1.43
59,PG 1402+261    ,1.35,0.13,0.16,0.12,1.51
63,Mkn 684        ,1.24,0.07,0.63,0.04,1.45
64,Mkn 478        ,2.13,1,-0.06,0.06,1.61
67,Mkn 493        ,1.29,0.07,0.75,0.04,1.59
69,RX J1618.1+3619,1.53,0.18,2.07,0.2,1.21
70,KUG 1618+410   ,0.98,0.11,0.63,0.32,1.55
72,EXO 1627+40    ,1.06,0.12,0.33,0.06,1.15
73,RX J1702.5+3247,1.79,0.07,0.68,0.15,1.42
76,RX J2216.8-4451,1.5,0.09,0.28,0.08,1.47
77,RX J2217.9-5941,2.23,0.18,0.51,0.06,1.57
81,MS 2254-36     ,1.14,0.09,0.51,0.15,1.38
84,RX J2301.8-5508,1.38,0.14,0.84,0.07,1.48
85,RX J2304.6-3501,1.06,0.47,1.13,0.41,1.28
87,RX J2317.8-4422,2.58,0.15,0.65,0.09,1.46
90,MS 23409-1511  ,1.77,0.08,0.58,0.09,1.43
